id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46722307,Modern 1 room apartment in district 4,271466792,Artel,Kreis 4,Langstrasse,47.37559,8.52931,Entire home/apt,125,14,5,2025-09-26,0.18,8,358,1,
46722687,Modern 1 room apartment in district 4,271466792,Artel,Kreis 4,Langstrasse,47.37531,8.53044,Entire home/apt,125,7,1,2024-07-12,0.07,8,211,0,
46728788,Modern and New 2-Room Flat in Central Zurich,40285617,Luiza,Kreis 6,Unterstrass,47.38498,8.53854,Entire home/apt,141,6,21,2025-09-15,0.37,1,27,1,
46741041,Room with private bathroom in 130m2 bright apt,4252813,Léo,Kreis 12,Schwamendingen-Mitte,47.40551,8.56413,Private room,,3,27,2023-04-24,0.47,1,0,0,
47094243,Bright bedroom w/ private bathroom in a penthouse,10805610,Karina,Kreis 9,Altstetten,47.38674,8.49372,Private room,,7,5,2024-07-11,0.10,1,0,0,
47096241,Studio in Seefeld,159777879,Guido Pierangelo Maria,Kreis 8,Mühlebach,47.3552,8.55747,Entire home/apt,,2,0,,,1,0,0,
47168882,Cozy Old Town Flat: Spacious & Central,1229459,Swissstay,Kreis 1,Rathaus,47.37093,8.54422,Entire home/apt,113,2,85,2025-03-07,1.47,100,318,6,
47194028,Beautiful Room in lovley Business WG,62530902,Elisabeth,Kreis 6,Oberstrass,47.38734,8.54477,Private room,,28,0,,,1,0,0,
47232398,"Ruhige Wohnung im Herzen von Zürich, 3 min vom See",154785353,Maurice,Kreis 8,Seefeld,47.35952,8.55254,Entire home/apt,,2,43,2024-07-31,0.75,1,0,0,
47303762,"New, bright 3.5 room apt - central but quiet",7961457,Simon,Kreis 6,Unterstrass,47.40187,8.53274,Entire home/apt,,60,0,,,1,0,0,
47366473,Private Spa LUX with Whirlpool and Sauna in Zurich,382403516,Roswita,Kreis 10,Höngg,47.40483,8.48612,Entire home/apt,412,1,20,2025-05-01,0.39,1,356,5,
47393953,SwissBangla House,382606895,Mohammed,Kreis 5,Gewerbeschule,47.38604,8.52969,Private room,240,1,0,,,1,364,0,
